Away,Average_Score_gols_A,Average_Conceding_gols_A,Away_General_Avg_Score_gols,Away_General_Avg_Conceding_gols,Average_xG_A,Average_ShotsTotal_A,Average_ShotsTarget_A,Average_Possession_A,Average_SaveTotal_A,Average_SaveCompleted_A,Average_Corners_A,Away_General_Avg_xG,Away_General_Avg_ShotsTotal,Away_General_Avg_ShotsTarget,Away_General_Avg_Possession,Away_Recent_Form
América (MG),0.3846153846153846,0.5789473684210527,0.2,0.7777777777777778,0.30088495575221236,0.4545454545454545,0.4166666666666667,0.35849056603773577,0.8235294117647057,0.7333333333333334,0.40476190476190477,0.23880597014925378,0.2692307692307693,0.18604651162790692,0.48587570621468923,0.2
Ath Paranaense,0.3076923076923077,0.5263157894736842,0.3,0.22222222222222224,0.21238938053097345,0.36363636363636365,0.3055555555555556,0.0,0.588235294117647,0.4666666666666667,0.2857142857142857,0.4253731343283582,0.4326923076923076,0.46511627906976744,0.07344632768361581,0.5333333333333333
Atl Goianiense,0.23076923076923073,0.631578947368421,0.25,0.3333333333333333,0.34513274336283184,0.6493506493506493,0.4444444444444445,0.4811320754716981,0.6470588235294117,0.4666666666666667,0.3571428571428572,0.26865671641791045,0.4999999999999999,0.4186046511627906,0.5028248587570621,0.3333333333333333
Atlético Mineiro,0.0,0.3157894736842105,0.25,0.11111111111111112,0.08849557522123895,0.3766233766233765,0.19444444444444448,0.5235849056603774,0.4999999999999999,0.5,0.19047619047619044,0.11940298507462685,0.38461538461538447,0.25581395348837205,0.4067796610169494,0.5333333333333333
Avaí,0.07692307692307693,0.5789473684210527,0.2,0.3888888888888889,0.27433628318584075,0.4415584415584415,0.4166666666666667,0.4952830188679247,0.5294117647058824,0.43333333333333335,0.4761904761904763,0.32835820895522394,0.32692307692307687,0.27906976744186046,0.41242937853107353,0.26666666666666666
Bahia,0.23076923076923073,0.631578947368421,0.35,0.3333333333333333,0.2212389380530973,0.3766233766233765,0.3611111111111111,0.39622641509433976,0.6176470588235293,0.5,0.21428571428571427,0.4776119402985074,0.4999999999999999,0.48837209302325585,0.5706214689265536,0.6
Botafogo (RJ),0.23076923076923073,0.2631578947368421,0.35,0.2777777777777778,0.3097345132743363,0.4545454545454545,0.25000000000000006,0.49056603773584917,0.2352941176470588,0.2666666666666666,0.16666666666666666,0.4477611940298506,0.4807692307692306,0.48837209302325585,0.36723163841807915,0.5333333333333333
Ceará,0.15384615384615385,0.21052631578947367,0.15,0.2777777777777778,0.2654867256637168,0.4545454545454545,0.5277777777777777,0.4103773584905661,0.2941176470588235,0.33333333333333326,0.30952380952380953,0.24626865671641798,0.423076923076923,0.23255813953488375,0.46892655367231617,0.26666666666666666
Corinthians,0.3076923076923077,0.2631578947368421,0.4,0.16666666666666666,0.18584070796460178,0.2597402597402597,0.2222222222222222,0.5377358490566038,0.2352941176470588,0.30000000000000004,0.4285714285714286,0.4776119402985075,0.23076923076923073,0.1395348837209302,0.615819209039548,0.8
Coritiba,0.8461538461538461,0.42105263157894735,0.3,0.22222222222222224,0.43362831858407086,0.31168831168831157,0.33333333333333337,0.20754716981132082,0.588235294117647,0.6000000000000001,0.23809523809523805,0.21641791044776124,0.2596153846153846,0.18604651162790692,0.31073446327683607,0.4666666666666667
Criciúma,0.15384615384615385,0.3157894736842105,0.15,0.5555555555555556,0.11504424778761065,0.16883116883116878,0.3888888888888889,0.1556603773584906,0.764705882352941,0.7999999999999999,0.16666666666666666,0.20895522388059704,0.3557692307692307,0.30232558139534876,0.192090395480226,0.06666666666666667
Cruzeiro,0.23076923076923073,0.21052631578947367,0.3,0.16666666666666666,0.327433628318584,0.4415584415584415,0.3611111111111111,0.34905660377358516,0.32352941176470584,0.3666666666666667,0.4285714285714286,0.3955223880597015,0.3653846153846154,0.46511627906976744,0.48587570621468923,0.6
Cuiabá,0.07692307692307693,0.10526315789473684,0.15,0.2777777777777778,0.0973451327433628,0.19480519480519481,0.027777777777777776,0.21698113207547176,0.32352941176470584,0.43333333333333335,0.23809523809523805,0.12686567164179105,0.07692307692307687,0.023255813953488358,0.10169491525423724,0.2
Flamengo,0.5384615384615383,0.15789473684210525,0.45,0.22222222222222224,0.34513274336283184,0.5324675324675324,0.33333333333333337,0.7830188679245285,0.17647058823529407,0.23333333333333336,0.40476190476190477,0.4402985074626866,0.40384615384615374,0.3953488372093022,0.7683615819209038,0.6
Fluminense,0.3076923076923077,0.42105263157894735,0.15,0.22222222222222224,0.30088495575221236,0.35064935064935066,0.3888888888888889,0.5801886792452833,0.47058823529411753,0.4,0.33333333333333337,0.38059701492537323,0.375,0.3953488372093022,0.5988700564971752,0.6
Fortaleza,0.3846153846153846,0.47368421052631576,0.2,0.2777777777777778,0.34513274336283184,0.4545454545454545,0.5277777777777777,0.3113207547169814,0.5588235294117647,0.5666666666666667,0.26190476190476186,0.36567164179104483,0.4326923076923076,0.441860465116279,0.23728813559322037,0.4666666666666667
Goiás,0.5384615384615383,0.5263157894736842,0.15,0.3333333333333333,0.37168141592920356,0.6883116883116882,0.5277777777777777,0.3820754716981134,0.4999999999999999,0.43333333333333335,0.3571428571428572,0.19402985074626863,0.5192307692307692,0.3953488372093022,0.5310734463276836,0.2
Grêmio,0.3076923076923077,0.5263157894736842,0.25,0.4444444444444445,0.18584070796460173,0.2597402597402597,0.1388888888888889,0.2735849056603775,0.588235294117647,0.6000000000000001,0.21428571428571427,0.5149253731343283,0.5192307692307692,0.372093023255814,0.36723163841807915,0.4
Internacional,0.23076923076923073,0.5263157894736842,0.15,0.2777777777777778,0.2300884955752212,0.16883116883116878,0.16666666666666669,0.30660377358490576,0.6176470588235293,0.5,0.11904761904761904,0.37313432835820903,0.298076923076923,0.27906976744186046,0.423728813559322,0.26666666666666666
Juventude,0.3076923076923077,0.42105263157894735,0.2,0.3333333333333333,0.18584070796460178,0.22077922077922074,0.2222222222222222,0.2216981132075473,0.3529411764705882,0.30000000000000004,0.09523809523809526,0.20895522388059704,0.2884615384615383,0.372093023255814,0.33333333333333326,0.4
Mirassol,0.46153846153846145,0.42105263157894735,0.5,0.16666666666666666,0.5486725663716813,0.8571428571428571,0.5,0.6556603773584908,0.32352941176470584,0.2666666666666666,0.45238095238095244,0.5,0.34615384615384615,0.4186046511627906,0.5819209039548023,0.8666666666666667
Palmeiras,0.6153846153846154,0.3684210526315789,0.55,0.22222222222222224,0.44247787610619477,0.7142857142857142,0.7222222222222222,0.5235849056603774,0.47058823529411753,0.5,0.5476190476190476,0.5,0.75,0.8604651162790695,0.5988700564971752,0.6666666666666666
RB Bragantino,0.3076923076923077,0.5789473684210527,0.2,0.6666666666666666,0.3185840707964602,0.2597402597402597,0.3055555555555556,0.28301886792452824,0.6176470588235293,0.4666666666666667,0.23809523809523805,0.26865671641791045,0.23076923076923073,0.1162790697674419,0.41242937853107353,0.2
Santos,0.3846153846153846,0.5263157894736842,0.3,0.3888888888888889,0.43362831858407075,0.5324675324675324,0.5555555555555555,0.5188679245283021,0.764705882352941,0.6666666666666666,0.5,0.32835820895522383,0.3557692307692307,0.3255813953488372,0.5932203389830508,0.3333333333333333
Sport Recife,0.23076923076923073,0.42105263157894735,0.2,0.5,0.6194690265486724,0.7012987012987012,0.5,0.5235849056603774,0.6176470588235293,0.6000000000000001,0.5476190476190476,0.4776119402985075,0.4807692307692306,0.25581395348837205,0.49717514124293793,0.13333333333333333
São Paulo,0.15384615384615385,0.3684210526315789,0.3,0.4444444444444445,0.2831858407079646,0.36363636363636365,0.25000000000000006,0.5660377358490565,0.6176470588235293,0.7,0.5,0.3656716417910447,0.3076923076923076,0.25581395348837205,0.5310734463276834,0.4
Vasco da Gama,0.6923076923076923,0.3157894736842105,0.55,0.2777777777777778,0.34513274336283184,0.2727272727272727,0.47222222222222227,0.4009433962264153,0.38235294117647056,0.4,0.30952380952380953,0.5,0.33653846153846145,0.48837209302325585,0.6101694915254234,0.8
Vitória,0.3846153846153846,0.894736842105263,0.35,0.3333333333333333,0.32743362831858414,0.16883116883116878,0.2222222222222222,0.18867924528301894,0.6470588235294117,0.3666666666666667,0.09523809523809526,0.5298507462686568,0.17307692307692307,0.1395348837209302,0.03389830508474567,0.6
